x,y,yaw,dir
5.2986,-18.7067,2.5092,1
5.1840,-18.6170,2.4841,1
5.1055,-18.5075,2.2739,1
5.0508,-18.4021,2.1801,1
5.0006,-18.2944,2.0886,1
4.9757,-18.1849,2.0005,1
4.9587,-18.0841,1.9124,1
4.9501,-17.9758,1.8271,1
4.9587,-17.8680,1.7628,1
4.9562,-17.7195,1.7108,1
4.9444,-17.6102,1.7029,1
4.9337,-17.5105,1.7125,1
4.9208,-17.4013,1.7176,1
4.9093,-17.2729,1.7210,1
4.8869,-17.1246,1.7210,1
4.8645,-16.9763,1.7210,1
4.8495,-16.8687,1.7210,1
4.8345,-16.7685,1.7210,1
4.8121,-16.6252,1.7210,1
4.7896,-16.4843,1.7210,1
4.7747,-16.3680,1.7210,1
4.7522,-16.2347,1.7210,1
4.7298,-16.0926,1.7210,1
4.7148,-15.9775,1.7210,1
4.6924,-15.8492,1.7210,1
4.6699,-15.7009,1.7210,1
4.6550,-15.5820,1.7210,1
4.6325,-15.4491,1.7210,1
4.6176,-15.3448,1.7210,1
4.5951,-15.1865,1.7210,1
4.5727,-15.0582,1.7210,1
4.5502,-14.9025,1.7210,1
4.5278,-14.7716,1.7210,1
4.5128,-14.6595,1.7210,1
4.4981,-14.5573,1.7126,1
4.4802,-14.4249,1.6607,1
4.4863,-14.2709,1.5810,1
4.5036,-14.1253,1.5523,1
4.5273,-13.9953,1.5529,1
4.5200,-13.8553,1.5528,1
4.5218,-13.7453,1.5528,1
4.5245,-13.5854,1.5528,1
4.5263,-13.4754,1.5528,1
4.5290,-13.3654,1.5528,1
4.5308,-13.2580,1.5528,1
4.5335,-13.1174,1.5528,1
4.5353,-13.0055,1.5528,1
4.5380,-12.8755,1.5528,1
4.5398,-12.7655,1.5528,1
4.5425,-12.6255,1.5528,1
4.5452,-12.4956,1.5528,1
4.5470,-12.3656,1.5528,1
4.5497,-12.2364,1.5528,1
4.5524,-12.0994,1.5528,1
4.5542,-11.9956,1.5528,1
4.5569,-11.8576,1.5528,1
4.5596,-11.7231,1.5528,1
4.5623,-11.5886,1.5528,1
4.5650,-11.4457,1.5528,1
4.5677,-11.3158,1.5528,1
4.5704,-11.1758,1.5528,1
4.5731,-11.0558,1.5528,1
4.5758,-10.9160,1.5528,1
4.5785,-10.7859,1.5528,1
4.5812,-10.6559,1.5528,1
4.5839,-10.5159,1.5528,1
4.5866,-10.3759,1.5528,1
4.5893,-10.2334,1.5528,1
4.5920,-10.0860,1.5528,1
4.5947,-9.9460,1.5528,1
4.5965,-9.8447,1.5528,1
4.5992,-9.6960,1.5528,1
4.6010,-9.5905,1.5528,1
4.6037,-9.4461,1.5528,1
4.6064,-9.3061,1.5528,1
4.6082,-9.1961,1.5528,1
4.6109,-9.0561,1.5528,1
4.6127,-8.9475,1.5528,1
4.6145,-8.8462,1.5528,1
4.6172,-8.7062,1.5528,1
4.6199,-8.5588,1.5528,1
4.6217,-8.4562,1.5528,1
4.6244,-8.3163,1.5528,1
4.6271,-8.1601,1.5528,1
4.6289,-8.0563,1.5528,1
4.6316,-7.9063,1.5528,1
4.6343,-7.7764,1.5528,1
4.6361,-7.6564,1.5528,1
4.6388,-7.5172,1.5528,1
4.6406,-7.4164,1.5528,1
4.6433,-7.2764,1.5528,1
4.6451,-7.1733,1.5528,1
4.6469,-7.0665,1.5528,1
4.6496,-6.9165,1.5528,1
4.6523,-6.7745,1.5528,1
4.6550,-6.6265,1.5528,1
4.6568,-6.5203,1.5528,1
4.6595,-6.3758,1.5528,1
4.6622,-6.2266,1.5528,1
4.6649,-6.0765,1.5528,1
4.6667,-5.9671,1.5528,1
4.6685,-5.8667,1.5528,1
4.6712,-5.7229,1.5528,1
4.6739,-5.5767,1.5528,1
4.6757,-5.4687,1.5528,1
4.6775,-5.3667,1.5528,1
4.6802,-5.2268,1.5528,1
4.6829,-5.0768,1.5528,1
4.6856,-4.9268,1.5528,1
4.6883,-4.7768,1.5528,1
4.6910,-4.6269,1.5528,1
4.6937,-4.4769,1.5528,1
4.6964,-4.3269,1.5528,1
4.6991,-4.1769,1.5528,1
4.9568,-3.5472,1.5803,1
4.9529,-3.4009,1.5788,1
